id,question,response_options
follow,I follow the weather very closely.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
plan_around,I plan my daily routine around the weather.,1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
und_weather,"I don't understand what causes extreme weather events like thunderstorms, tornadoes, and hurricanes.",1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
risk_wind,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme high winds,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_rain,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme rain storms,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_heat,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme heat waves,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_drought,How do you rate the risk of the following extreme weather events to you and the people in your area? Droughts,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_cold,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme cold temperatures,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_snow,How do you rate the risk of the following extreme weather events to you and the people in your area? Extreme snow (or ice) storms,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_tor,How do you rate the risk of the following extreme weather events to you and the people in your area? Tornadoes,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_flood,How do you rate the risk of the following extreme weather events to you and the people in your area? Floods,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_hur,How do you rate the risk of the following extreme weather events to you and the people in your area? Hurricanes,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
risk_fire,How do you rate the risk of the following extreme weather events to you and the people in your area? Wildfires,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
alert_und,"In general, do you understand the difference between watches and warnings?",1 = Definitely no; 2 = Probably no; 3 = Not sure; 4 = Probably yes; 5 = Definitely yes
torwatch,This alert is issued when severe thunderstorms and tornadoes are possible in and near the area. It does not mean that they will occur. It only means they are possible.,1 = Tornado WATCH; 2 = Tornado WARNING; 3 = Don't know
torwarn,"This alert is used when a tornado is imminent. When this alert is issued, seek safe shelter immediately.",1 = Tornado WATCH; 2 = Tornado WARNING; 3 = Don't know
warn_time,"If the National Weather Service issues a tornado WARNING for your area, how much time do you have before the tornado arrives?",1 = Less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 3 days; 4 = More than 3 days
warn_size,Approximately how large is the area included in an average tornado WARNING?,1 = Around the size of a city; 2 = Around the size of a county; 3 = Around the size of multiple counties; 4 = Around the size of a state; 5 = Around the size of multiple states
watch_time,"If the National Weather Service issues a tornado WATCH for your area, how much time do you have before the tornado arrives?",1 = Less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 3 days; 4 = More than 3 days
watch_size,Approximately how large is the area included in an average tornado WATCH?,1 = Around the size of a city; 2 = Around the size of a county; 3 = Around the size of multiple counties; 4 = Around the size of a state; 5 = Around the size of multiple states
